No	Time	Source	Destination	Protocol	Length	info
1	2023-12-30 19:37:19	10.180.51.117	39.156.66.10	ICMP	74	Ether / IP / ICMP 10.180.51.117 > 39.156.66.10 echo-request 0 / Raw
2	2023-12-30 19:37:19	39.156.66.10	10.180.51.117	ICMP	74	Ether / IP / ICMP 39.156.66.10 > 10.180.51.117 echo-reply 0 / Raw
3	2023-12-30 19:37:20	10.180.51.117	39.156.66.10	ICMP	74	Ether / IP / ICMP 10.180.51.117 > 39.156.66.10 echo-request 0 / Raw
4	2023-12-30 19:37:20	39.156.66.10	10.180.51.117	ICMP	74	Ether / IP / ICMP 39.156.66.10 > 10.180.51.117 echo-reply 0 / Raw
5	2023-12-30 19:37:21	10.180.51.117	39.156.66.10	ICMP	74	Ether / IP / ICMP 10.180.51.117 > 39.156.66.10 echo-request 0 / Raw
6	2023-12-30 19:37:21	39.156.66.10	10.180.51.117	ICMP	74	Ether / IP / ICMP 39.156.66.10 > 10.180.51.117 echo-reply 0 / Raw
7	2023-12-30 19:37:22	10.180.51.117	39.156.66.10	ICMP	74	Ether / IP / ICMP 10.180.51.117 > 39.156.66.10 echo-request 0 / Raw
8	2023-12-30 19:37:22	39.156.66.10	10.180.51.117	ICMP	74	Ether / IP / ICMP 39.156.66.10 > 10.180.51.117 echo-reply 0 / Raw
