No	Time	Source	Destination	Protocol	Length	info
1	2023-12-30 20:24:14	10.180.51.117	110.242.68.66	ICMP	74	Ether / IP / ICMP 10.180.51.117 > 110.242.68.66 echo-request 0 / Raw
2	2023-12-30 20:24:14	110.242.68.66	10.180.51.117	ICMP	74	Ether / IP / ICMP 110.242.68.66 > 10.180.51.117 echo-reply 0 / Raw
3	2023-12-30 20:24:15	10.180.51.117	110.242.68.66	ICMP	74	Ether / IP / ICMP 10.180.51.117 > 110.242.68.66 echo-request 0 / Raw
4	2023-12-30 20:24:16	110.242.68.66	10.180.51.117	ICMP	74	Ether / IP / ICMP 110.242.68.66 > 10.180.51.117 echo-reply 0 / Raw
5	2023-12-30 20:24:16	10.180.51.117	110.242.68.66	ICMP	74	Ether / IP / ICMP 10.180.51.117 > 110.242.68.66 echo-request 0 / Raw
6	2023-12-30 20:24:17	110.242.68.66	10.180.51.117	ICMP	74	Ether / IP / ICMP 110.242.68.66 > 10.180.51.117 echo-reply 0 / Raw
7	2023-12-30 20:24:17	10.180.51.117	110.242.68.66	ICMP	74	Ether / IP / ICMP 10.180.51.117 > 110.242.68.66 echo-request 0 / Raw
8	2023-12-30 20:24:18	110.242.68.66	10.180.51.117	ICMP	74	Ether / IP / ICMP 110.242.68.66 > 10.180.51.117 echo-reply 0 / Raw
