No	Time	Source	Destination	Protocol	Length	info
1	2023-12-30 19:25:01	10.180.51.117	1.12.12.12	TCP	55	Ether / IP / TCP 10.180.51.117:2049 > 1.12.12.12:https A / Raw
2	2023-12-30 19:25:01	1.12.12.12	10.180.51.117	TCP	66	Ether / IP / TCP 1.12.12.12:https > 10.180.51.117:2049 A
3	2023-12-30 19:25:01	223.6.6.6	10.180.51.117	TCP	66	Ether / IP / TCP 223.6.6.6:https > 10.180.51.117:2729 SA
4	2023-12-30 19:25:02	101.91.134.222	10.180.51.117	TCP	86	Ether / IP / TCP 101.91.134.222:https > 10.180.51.117:2449 PA / Raw
5	2023-12-30 19:25:02	10.180.51.117	101.91.134.222	TCP	90	Ether / IP / TCP 10.180.51.117:2449 > 101.91.134.222:https PA / Raw
6	2023-12-30 19:25:02	101.91.134.222	10.180.51.117	TCP	60	Ether / IP / TCP 101.91.134.222:https > 10.180.51.117:2449 A / Padding
7	2023-12-30 19:25:02	5c:c0:a0:3d:95:f0	ff:ff:ff:ff:ff:ff	Ethernet	60	5c:c0:a0:3d:95:f0 > ff:ff:ff:ff:ff:ff (0x9998) / Raw
8	2023-12-30 19:25:02	5c:c0:a0:3d:95:f0	ff:ff:ff:ff:ff:ff	Ethernet	60	5c:c0:a0:3d:95:f0 > ff:ff:ff:ff:ff:ff (0x9998) / Raw
9	2023-12-30 19:25:02	49.7.240.75	10.180.51.117	TCP	86	Ether / IP / TCP 49.7.240.75:https > 10.180.51.117:2448 PA / Raw
10	2023-12-30 19:25:02	10.180.51.117	49.7.240.75	TCP	90	Ether / IP / TCP 10.180.51.117:2448 > 49.7.240.75:https PA / Raw
11	2023-12-30 19:25:02	49.7.240.75	10.180.51.117	TCP	60	Ether / IP / TCP 49.7.240.75:https > 10.180.51.117:2448 A / Padding
12	2023-12-30 19:25:02	54:c6:ff:7b:58:02	f8:5e:a0:1c:11:78	TCP	98	Ether / IPv6 / TCP 2600:1417:4400:10::1731:683a:https > 2403:d400:1000:12:8ce0:8aff:4886:9579:1956 PA / Raw
